 ID,Name / Nom,Latitude,Longitude,Prov/Terr,Timezone / Fuseau horaire
01AO003,"GRAND LAKE AT NEWCASTLE CREEK",46.060280,-66.003610,NB,UTC-04:00
01AO004,"JEMSEG RIVER AT JEMSEG",45.829440,-66.116110,NB,UTC-04:00
01AO010,"FRENCH LAKE AT LAKEVILLE CORNER",45.908330,-66.258610,NB,UTC-04:00
01AO011,"SAINT JOHN RIVER AT UPPER GAGETOWN",45.847220,-66.235280,NB,UTC-04:00
01AO012,"SAINT JOHN RIVER AT GAGETOWN",45.768330,-66.140560,NB,UTC-04:00
01AP002,"CANAAN RIVER AT EAST CANAAN",46.071950,-65.366670,NB,UTC-04:00
01AP003,"SAINT JOHN RIVER AT OAK POINT",45.519720,-66.078890,NB,UTC-04:00
01AP004,"KENNEBECASIS RIVER AT APOHAQUI",45.701950,-65.601390,NB,UTC-04:00
01AP005,"SAINT JOHN RIVER AT SAINT JOHN",45.274170,-66.089160,NB,UTC-04:00
01AP006,"NEREPIS RIVER NEAR FOWLERS CORNER",45.503440,-66.318970,NB,UTC-04:00
01AQ001,"LEPREAU RIVER AT LEPREAU",45.170000,-66.466670,NB,UTC-04:00
01AQ002,"MAGAGUADAVIC RIVER AT ELMCROFT",45.273330,-66.806660,NB,UTC-04:00
01AQ007,"MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC",45.728890,-67.185840,NB,UTC-04:00
01AR006,"DENNIS STREAM NEAR ST. STEPHEN",45.209720,-67.262500,NB,UTC-04:00
01AR009,"GRAND LAKE AT FOREST CITY",45.665000,-67.736110,NB,UTC-05:00
01AR010,"SPEDNIC LAKE AT ST. CROIX",45.569170,-67.428050,NB,UTC-04:00
01AR011,"FOREST CITY STREAM BELOW FOREST CITY DAM",45.664170,-67.734440,NB,UTC-05:00
01AR013,"GRAND FALLS FLOWAGE AT GRAND FALLS",45.275000,-67.496110,NB,UTC-05:00
01AR014,"ST. CROIX RIVER AT MILLTOWN DAM",45.175220,-67.292800,NB,UTC-05:00
01BC001,"RESTIGOUCHE RIVER BELOW KEDGWICK RIVER",47.666670,-67.484170,NB,UTC-04:00
01BE001,"UPSALQUITCH RIVER AT UPSALQUITCH",47.831670,-66.881670,NB,UTC-04:00
01BJ003,"JACQUET RIVER NEAR DURHAM CENTRE",47.897780,-66.029720,NB,UTC-04:00
01BJ007,"RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK",47.908050,-66.947500,NB,UTC-04:00
01BJ010,"MIDDLE RIVER NEAR BATHURST",47.608330,-65.723050,NB,UTC-04:00
01BJ012,"EEL RIVER NEAR DUNDEE",47.988610,-66.491670,NB,UTC-04:00
01BL002,"RIVIERE CARAQUET AT BURNSVILLE",47.705550,-65.155000,NB,UTC-04:00
01BL003,"BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING",47.435000,-65.106940,NB,UTC-04:00
01BO001,"SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE",46.736110,-65.826670,NB,UTC-04:00
01BP001,"LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON",46.935830,-65.907220,NB,UTC-04:00
01BP002,"CATAMARAN BROOK AT REPAP ROAD BRIDGE",46.857500,-66.188330,NB,UTC-04:00
01BQ001,"NORTHWEST MIRAMICHI RIVER AT TROUT BROOK",47.094720,-65.837220,NB,UTC-04:00
01BS001,"COAL BRANCH RIVER AT BEERSVILLE",46.443610,-65.065280,NB,UTC-04:00
01BU002,"PETITCODIAC RIVER NEAR PETITCODIAC",45.943610,-65.170280,NB,UTC-04:00
01BU009,"HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC",45.887780,-65.146110,NB,UTC-04:00
01BU010,"PETITCODIAC RIVER BELOW CAUSEWAY",46.065280,-64.806950,NB,UTC-04:00
01BU011,"PETITCODIAC RIVER ABOVE CAUSEWAY",46.065280,-64.806950,NB,UTC-04:00
01BV004,"BLACK RIVER AT GARNET SETTLEMENT",45.306670,-65.849440,NB,UTC-04:00
01BV006,"POINT WOLFE RIVER AT FUNDY NATIONAL PARK",45.558890,-65.017220,NB,UTC-04:00
01CA003,"CARRUTHERS BROOK NEAR ST. ANTHONY",46.744170,-64.185550,PE,UTC-04:00
01CB002,"DUNK RIVER AT WALL ROAD",46.345830,-63.634170,PE,UTC-04:00
01CB004,"WILMOT RIVER NEAR WILMOT VALLEY",46.393050,-63.659720,PE,UTC-04:00
01CC002,"WINTER RIVER NEAR SUFFOLK",46.332220,-63.064720,PE,UTC-04:00
01CC005,"WEST RIVER AT RIVERDALE",46.230560,-63.351940,PE,UTC-04:00
01CC010,"WINTER RIVER AT UNION",46.314450,-63.123330,PE,UTC-04:00
01CC011,"COLES CREEK AT MILTONVALE PUMPING STATION",46.310250,-63.194890,PE,UTC-04:00
01CD005,"BEAR RIVER AT ST. MARGARETS",46.453060,-62.382220,PE,UTC-04:00
01DC005,"ANNAPOLIS RIVER at WILMOT",44.949720,-65.029720,NS,UTC-04:00
01DC007,"ANNAPOLIS RIVER AT LAWRENCETOWN",44.867200,-65.166100,NS,UTC-04:00
01DD002,"CORNWALLIS RIVER AT CAMBRIDGE STATION",45.065000,-64.635280,NS,UTC-04:00
01DD005,"NORTH BROOK AT SHEFFIELD MILLS",45.150550,-64.475000,NS,UTC-04:00
01DG003,"BEAVERBANK RIVER NEAR KINSAC",44.851670,-63.665000,NS,UTC-04:00
01DG043,"ST ANDREWS RIVER AT STEWIACKE",45.123060,-63.349750,NS,UTC-04:00
01DJ005,"GREAT VILLAGE RIVER NEAR SCRABBLE HILL",45.437780,-63.598610,NS,UTC-04:00
01DL001,"KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD",45.586110,-64.451390,NS,UTC-04:00
01DP004,"MIDDLE RIVER OF PICTOU AT ROCKLIN",45.497220,-62.780830,NS,UTC-04:00
01DR001,"SOUTH RIVER AT ST. ANDREWS",45.559720,-61.904170,NS,UTC-04:00
01EA003,"TUSKET RIVER AT WILSON'S BRIDGE",43.923330,-65.870000,NS,UTC-04:00
01EC001,"ROSEWAY RIVER AT LOWER OHIO",43.838330,-65.370000,NS,UTC-04:00
01ED005,"MERSEY RIVER BELOW GEORGE LAKE",44.333330,-65.204440,NS,UTC-04:00
01ED007,"MERSEY RIVER BELOW MILL FALLS",44.436780,-65.221860,NS,UTC-04:00
01ED013,"SHELBURNE RIVER AT POLLARD'S FALLS BRIDGE",44.216390,-65.242230,NS,UTC-04:00
01EE005,"MOOSE PIT BROOK AT TUPPER LAKE",44.461940,-65.048610,NS,UTC-04:00
01EF001,"LAHAVE RIVER AT WEST NORTHFIELD",44.446670,-64.591670,NS,UTC-04:00
01EJ001,"SACKVILLE RIVER AT BEDFORD",44.731390,-63.662500,NS,UTC-04:00
01EJ004,"LITTLE SACKVILLE RIVER AT MIDDLE SACKVILLE",44.763610,-63.688890,NS,UTC-04:00
01EO001,"ST. MARYS RIVER AT STILLWATER",45.173330,-61.981670,NS,UTC-04:00
01FA001,"RIVER INHABITANTS AT GLENORA",45.720830,-61.286110,NS,UTC-04:00
01FB001,"NORTHEAST MARGAREE RIVER AT MARGAREE VALLEY",46.369450,-60.976670,NS,UTC-04:00
01FB003,"SOUTHWEST MARGAREE RIVER NEAR UPPER MARGAREE",46.223330,-61.136670,NS,UTC-04:00
01FC002,"CHETICAMP RIVER ABOVE ROBERT BROOK",46.641110,-60.946950,NS,UTC-04:00
01FF001,"MIDDLE RIVER AT MACLENNANS CROSS",46.190000,-60.941940,NS,UTC-04:00
01FG001,"RIVER DENYS AT BIG MARSH",45.893690,-61.204750,NS,UTC-04:00
01FJ002,"MACASKILLS BROOK NEAR BIRCH GROVE",46.116390,-60.007220,NS,UTC-04:00
02AB006,"KAMINISTIQUIA RIVER AT KAMINISTIQUIA",48.532780,-89.594170,ON,UTC-05:00
02AB008,"NEEBING RIVER NEAR THUNDER BAY",48.382220,-89.307780,ON,UTC-05:00
02AB014,"NORTH CURRENT RIVER NEAR THUNDER BAY",48.501110,-89.179730,ON,UTC-05:00
02AB017,"WHITEFISH RIVER AT NOLALU",48.291670,-89.809170,ON,UTC-05:00
02AB019,"MCVICAR CREEK AT THUNDER BAY",48.449440,-89.219170,ON,UTC-05:00
02AB020,"MCINTYRE RIVER ABOVE THUNDER BAY",48.482500,-89.325280,ON,UTC-05:00
02AB021,"CURRENT RIVER AT STEPSTONE",48.562500,-89.240840,ON,UTC-05:00
02AB022,"CORBETT CREEK NEAR MURILLO",48.429160,-89.545000,ON,UTC-05:00
02AB023,"SLATE RIVER NEAR THUNDER BAY",48.324750,-89.404860,ON,UTC-05:00
02AB024,"NEEBING RIVER NEAR INTOLA",48.443560,-89.358560,ON,UTC-05:00
02AB025,"KAMINISTIQUIA RIVER AT WEST FORT WILLIAM",48.347862,-89.353279,ON,UTC-05:00
02AB026,"KAMINISTIQUIA RIVER ABOVE WEST FORT WILLIAM",48.345531,-89.386780,ON,UTC-05:00
02AC001,"WOLF RIVER AT HIGHWAY NO. 17",48.821950,-88.535280,ON,UTC-05:00
02AC002,"BLACK STURGEON RIVER AT HIGHWAY NO. 17",48.903610,-88.377220,ON,UTC-05:00
02AD010,"BLACKWATER RIVER AT BEARDMORE",49.602780,-87.963890,ON,UTC-05:00
02AD012,"NIPIGON RIVER BELOW ALEXANDER GENERATING STATION",49.123750,-88.358278,ON,UTC-05:00
02AE001,"GRAVEL RIVER NEAR CAVERS",48.926000,-87.690190,ON,UTC-05:00
02BA003,"LITTLE PIC RIVER NEAR COLDWELL",48.849170,-86.607220,ON,UTC-05:00
02BA005,"WHITESAND RIVER ABOVE SCHREIBER AT MINOVA MINE",48.978110,-87.376780,ON,UTC-05:00
02BA006,"STEEL RIVER BELOW SANTOY LAKE",48.814450,-86.859440,ON,UTC-05:00
02BB003,"PIC RIVER NEAR MARATHON",48.773890,-86.296940,ON,UTC-05:00
02BB004,"CEDAR CREEK NEAR HEMLO",48.707500,-85.910840,ON,UTC-05:00
02BC004,"WHITE RIVER BELOW WHITE LAKE",48.655280,-85.742230,ON,UTC-05:00
02BC006,"PUKASKWA RIVER BELOW FOX RIVER",48.160280,-85.730528,ON,UTC-05:00
02BC007,"WHITE LAKE AT WHITE LAKE PROVINCIAL PARK",48.691000,-85.640600,ON,UTC-05:00
02BD005,"MAGPIE RIVER AT ESNAGI LAKE",48.480560,-84.533060,ON,UTC-05:00
02BD006,"WAWA CREEK AT WAWA",47.989440,-84.767830,ON,UTC-05:00
02BD007,"MAGPIE RIVER NEAR WAWA",48.022000,-84.813170,ON,UTC-05:00
02BF001,"BATCHAWANA RIVER NEAR BATCHAWANA",47.003610,-84.515560,ON,UTC-05:00
02BF002,"GOULAIS RIVER NEAR SEARCHMONT",46.860830,-83.971940,ON,UTC-05:00
02BF004,"BIG CARP RIVER NEAR SAULT STE. MARIE",46.515830,-84.465000,ON,UTC-05:00
02BF014,"GOULAIS RIVER NEAR KIRBY'S CORNER",46.717470,-84.284610,ON,UTC-05:00
02CA002,"ROOT RIVER AT SAULT STE. MARIE",46.562780,-84.281940,ON,UTC-05:00
02CA003,"ST. MARYS RIVER NEAR GARDEN RIVER",46.532500,-84.131110,ON,UTC-05:00
02CA007,"THESSALON RIVER NEAR POPLAR DALE",46.530390,-83.709580,ON,UTC-05:00
02CB003,"AUBINADONG RIVER ABOVE SESABIC CREEK",46.968330,-83.416940,ON,UTC-05:00
02CC005,"LITTLE WHITE RIVER NEAR BELLINGHAM",46.391670,-83.281670,ON,UTC-05:00
02CC010,"LITTLE WHITE RIVER BELOW BOLAND RIVER",46.581110,-82.967780,ON,UTC-05:00
02CD001,"SERPENT RIVER AT HIGHWAY NO. 17",46.210780,-82.512420,ON,UTC-05:00
02CD006,"SERPENT RIVER ABOVE QUIRKE LAKE",46.511110,-82.600830,ON,UTC-05:00
02CE002,"AUX SABLES RIVER AT MASSEY",46.215000,-82.070830,ON,UTC-05:00
02CE007,"MINISTIC CREEK ABOVE AGNEW LAKE",46.440420,-81.683220,ON,UTC-05:00
02CF005,"JUNCTION CREEK AT SUDBURY",46.478720,-81.010400,ON,UTC-05:00
02CF007,"WHITSON RIVER AT CHELMSFORD",46.583060,-81.199170,ON,UTC-05:00
02CF008,"WHITSON RIVER AT VAL CARON",46.610280,-81.033060,ON,UTC-05:00
02CF010,"ONAPING RIVER NEAR LEVACK",46.599450,-81.381940,ON,UTC-05:00
02CF011,"VERMILLION RIVER NEAR VAL CARON",46.685440,-81.009250,ON,UTC-05:00
02CF012,"JUNCTION CREEK BELOW KELLEY LAKE",46.427500,-81.098340,ON,UTC-05:00
02CF013,"MOOSE CREEK AT LEVACK",46.635830,-81.391390,ON,UTC-05:00
02CF014,"VERMILLION RIVER NEAR MILNET",46.819440,-80.957140,ON,UTC-05:00
02CG003,"BLUE JAY CREEK NEAR TEHKUMMAH",45.651670,-81.986600,ON,UTC-05:00
02CG005,"MINDEMOYA LAKE AT MINDEMOYA",45.750090,-82.184130,ON,UTC-05:00
02CH001,"FROOD LAKE NEAR WHITEFISH FALLS",46.118610,-81.728389,ON,UTC-05:00
02CH002,"PANACHE LAKE AT JACKSON'S POINT",46.273530,-81.344900,ON,UTC-05:00
02DB005,"WANAPITEI RIVER NEAR WANUP",46.345550,-80.839450,ON,UTC-05:00
02DB007,"CONISTON CREEK ABOVE WANAPITEI RIVER",46.475280,-80.821660,ON,UTC-05:00
02DC004,"STURGEON RIVER NEAR GLEN AFTON",46.637220,-80.263340,ON,UTC-05:00
02DC012,"STURGEON RIVER AT UPPER GOOSE FALLS",46.971390,-80.463330,ON,UTC-05:00
02DC013,"LITTLE STURGEON RIVER BELOW BOOTH LAKE",46.427610,-79.662030,ON,UTC-05:00
02DD006,"LAKE NIPISSING AT NORTH BAY",46.311940,-79.473890,ON,UTC-05:00
02DD010,"FRENCH RIVER AT DRY PINE BAY",46.068610,-80.611660,ON,UTC-05:00
02DD012,"VEUVE RIVER at VERNER",46.408250,-80.123300,ON,UTC-05:00
02DD013,"LA VASE RIVER AT NORTH BAY",46.263330,-79.395000,ON,UTC-05:00
02DD014,"CHIPPEWA CREEK AT NORTH BAY",46.311670,-79.448330,ON,UTC-05:00
02DD015,"COMMANDA CREEK NEAR COMMANDA",45.949170,-79.606670,ON,UTC-05:00
02DD016,"FRENCH RIVER AT PORTAGE DAM",46.122780,-80.013610,ON,UTC-05:00
02DD017,"FRENCH RIVER AT CHAUDIERE DAM",46.125830,-80.019440,ON,UTC-05:00
02DD020,"LITTLE FRENCH RIVER AT OKIKENDAWT ISLAND",46.123060,-80.078890,ON,UTC-05:00
02DD021,"LAKE NIPISSING AT FRENCH RIVER OUTLET",46.125830,-80.011670,ON,UTC-05:00
02DD022,"DOLLARS LAKE AT S NARROWS",45.920390,-80.241750,ON,UTC-05:00
02DD023,"FOREST LAKE AT SOUTH RIVER",45.839690,-79.356920,ON,UTC-05:00
02DD024,"WASI RIVER NEAR ASTORVILLE",46.178360,-79.309970,ON,UTC-05:00
02DD025,"FRENCH RIVER AT HARTLEY BAY",46.036140,-80.765110,ON,UTC-05:00
02DD026,"FRENCH RIVER AT WOSELEY BAY",46.105390,-80.265000,ON,UTC-05:00
02EA005,"NORTH MAGNETAWAN RIVER NEAR BURK'S FALLS",45.669450,-79.379170,ON,UTC-05:00
02EA010,"NORTH MAGNETAWAN RIVER ABOVE PICKEREL LAKE",45.703890,-79.309170,ON,UTC-05:00
02EA011,"MAGNETAWAN RIVER NEAR BRITT",45.773060,-80.482220,ON,UTC-05:00
02EA015,"CECEBE LAKE AT MAGNETAWAN",45.665550,-79.641390,ON,UTC-05:00
02EA016,"DOE LAKE NEAR KATRINE",45.569440,-79.366940,ON,UTC-05:00
02EA018,"MAGNETAWAN RIVER NEAR EMSDALE",45.554720,-79.287780,ON,UTC-05:00
02EA019,"AHMIC LAKE NEAR AHMIC HARBOUR",45.669060,-79.745060,ON,UTC-05:00
02EA020,"BERNARD LAKE AT SUNDRIDGE",45.718278,-79.417610,ON,UTC-05:00
02EA021,"SHAWANAGA RIVER BELOW SHAWANAGA LAKE",45.558640,-80.038060,ON,UTC-05:00
02EB004,"NORTH BRANCH MUSKOKA RIVER AT PORT SYDNEY",45.212780,-79.275280,ON,UTC-05:00
02EB008,"SOUTH BRANCH MUSKOKA RIVER AT BAYSVILLE",45.147970,-79.113500,ON,UTC-05:00
02EB011,"MOON RIVER AT HIGHWAY NO. 400",45.065000,-79.790280,ON,UTC-05:00
02EB012,"MUSQUASH RIVER AT HIGHWAY NO. 400",45.022500,-79.776950,ON,UTC-05:00
02EB013,"EAST RIVER NEAR HUNTSVILLE",45.392780,-79.160000,ON,UTC-05:00
02EB014,"OXTONGUE RIVER NEAR DWIGHT",45.311940,-78.989440,ON,UTC-05:00
02EB015,"BALA BAY AT BALA",45.013050,-79.613610,ON,UTC-05:00
02EB016,"FAIRY LAKE AT HUNTSVILLE",45.322500,-79.212500,ON,UTC-05:00
02EB017,"KAWAGAMA LAKE AT RUSSELL LANDING",45.264170,-78.814720,ON,UTC-05:00
02EB018,"LAKE MUSKOKA AT BEAUMARIS",45.070560,-79.493890,ON,UTC-05:00
02EB019,"LAKE OF BAYS AT BAYSVILLE",45.148810,-79.113280,ON,UTC-05:00
02EB020,"LAKE ROSSEAU AT PORT CARLING",45.120280,-79.576670,ON,UTC-05:00
02EB021,"MARY LAKE AT PORT SYDNEY",45.220000,-79.276110,ON,UTC-05:00
02EB022,"SMOKE LAKE AT ALGONQUIN PROVINCIAL PARK",45.541670,-78.695560,ON,UTC-05:00
02EB023,"GO HOME LAKE NEAR POTTERS LANDING",44.986110,-79.828610,ON,UTC-05:00
02EC002,"BLACK RIVER NEAR WASHAGO",44.713610,-79.281670,ON,UTC-05:00
02EC008,"BLACK RIVER AT BALDWIN",44.260830,-79.343890,ON,UTC-05:00
02EC009,"HOLLAND RIVER AT HOLLAND LANDING",44.095000,-79.489440,ON,UTC-05:00
02EC010,"SCHOMBERG RIVER NEAR SCHOMBERG",44.012220,-79.685550,ON,UTC-05:00
02EC011,"BEAVER RIVER NEAR BEAVERTON",44.397080,-79.070830,ON,UTC-05:00
02EC014,"SEVERN RIVER ABOVE WASDELL FALLS",44.775280,-79.297230,ON,UTC-05:00
02EC018,"PEFFERLAW BROOK NEAR UDORA",44.267500,-79.194730,ON,UTC-05:00
02EC019,"BLACK RIVER NEAR VANKOUGHNET",44.992500,-79.049550,ON,UTC-05:00
02EC020,"HAWKESTONE CREEK AT HAWKESTONE",44.496970,-79.467970,ON,UTC-05:00
02EC021,"UXBRIDGE BROOK NEAR UXBRIDGE",44.137860,-79.112690,ON,UTC-05:00
02EC022,"HEAD RIVER NEAR SEBRIGHT",44.725610,-79.070440,ON,UTC-05:00
02ED003,"NOTTAWASAGA RIVER NEAR BAXTER",44.249720,-79.821390,ON,UTC-05:00
02ED007,"COLDWATER RIVER AT COLDWATER",44.707220,-79.643890,ON,UTC-05:00
02ED013,"WYE RIVER NEAR WYEVALE",44.649720,-79.903890,ON,UTC-05:00
02ED014,"PINE RIVER NEAR EVERETT",44.200000,-79.960000,ON,UTC-05:00
02ED015,"MAD RIVER BELOW AVENING",44.307500,-80.071950,ON,UTC-05:00
02ED017,"HOG CREEK NEAR VICTORIA HARBOUR",44.726110,-79.778890,ON,UTC-05:00
02ED024,"NORTH RIVER AT THE FALLS",44.767780,-79.578330,ON,UTC-05:00
02ED026,"NOTTAWASAGA RIVER AT HOCKLEY",44.024720,-79.970000,ON,UTC-05:00
02ED027,"NOTTAWASAGA RIVER NEAR EDENVALE",44.485000,-79.966110,ON,UTC-05:00
02ED029,"INNISFIL CREEK NEAR ALLISTON",44.131110,-79.781110,ON,UTC-05:00
02ED030,"SILVER CREEK AT ORILLIA",44.647170,-79.452330,ON,UTC-05:00
02ED031,"PRETTY RIVER AT COLLINGWOOD",44.498750,-80.199920,ON,UTC-05:00
02ED032,"WILLOW CREEK NEAR MINESING",44.442500,-79.799500,ON,UTC-05:00
02ED100,"BEETON CREEK NEAR TOTTENHAM",44.049170,-79.803340,ON,UTC-05:00
02ED101,"NOTTAWASAGA RIVER NEAR ALLISTON",44.110550,-79.890270,ON,UTC-05:00
02ED102,"BOYNE RIVER AT EARL ROWE PARK",44.152500,-79.896670,ON,UTC-05:00
02FA001,"SAUBLE RIVER AT SAUBLE FALLS",44.677500,-81.256110,ON,UTC-05:00
02FA002,"STOKES RIVER NEAR FERNDALE",45.036950,-81.336390,ON,UTC-05:00
02FA004,"SAUBLE RIVER AT ALLENFORD",44.535560,-81.177780,ON,UTC-05:00
02FB007,"SYDENHAM RIVER NEAR OWEN SOUND",44.522220,-80.930270,ON,UTC-05:00
02FB009,"BEAVER RIVER NEAR CLARKSBURG",44.520000,-80.467780,ON,UTC-05:00
02FB010,"BIGHEAD RIVER NEAR MEAFORD",44.570280,-80.648610,ON,UTC-05:00
02FB012,"MILL CREEK NEAR RED WING",44.464360,-80.485580,ON,UTC-05:00
02FB013,"BEAVER RIVER NEAR VANDELEUR",44.346140,-80.539970,ON,UTC-05:00
02FB014,"BIGHEAD RIVER NEAR STRATHAVON",44.471780,-80.776530,ON,UTC-05:00
02FC001,"SAUGEEN RIVER NEAR PORT ELGIN",44.456390,-81.326390,ON,UTC-05:00
02FC002,"SAUGEEN RIVER NEAR WALKERTON",44.120560,-81.115280,ON,UTC-05:00
02FC011,"CARRICK CREEK NEAR CARLSRUHE",44.113330,-81.019170,ON,UTC-05:00
02FC012,"SOUTH SAUGEEN RIVER NEAR HANOVER",44.098610,-80.984440,ON,UTC-05:00
02FC015,"TEESWATER RIVER NEAR PAISLEY",44.268330,-81.269170,ON,UTC-05:00
02FC016,"SAUGEEN RIVER ABOVE DURHAM",44.185550,-80.787500,ON,UTC-05:00
02FC017,"BEATTY SAUGEEN RIVER NEAR HOLSTEIN",44.090470,-80.741940,ON,UTC-05:00
02FC020,"TEESWATER RIVER AT TEESWATER",44.000610,-81.283810,ON,UTC-05:00
02FC021,"CAMP CREEK AT ALLAN PARK",44.161140,-80.929310,ON,UTC-05:00
02FD001,"PINE RIVER AT LURGAN",44.094720,-81.725830,ON,UTC-05:00
02FD002,"LUCKNOW RIVER AT LUCKNOW",43.962220,-81.515280,ON,UTC-05:00
02FD003,"NORTH PENETANGORE RIVER AT KINCARDINE",44.172780,-81.630550,ON,UTC-05:00
02FE002,"MAITLAND RIVER BELOW WINGHAM",43.886670,-81.326390,ON,UTC-05:00
02FE003,"MIDDLE MAITLAND RIVER NEAR LISTOWEL",43.727220,-80.972780,ON,UTC-05:00
02FE005,"MAITLAND RIVER ABOVE WINGHAM",43.915000,-81.264440,ON,UTC-05:00
02FE007,"LITTLE MAITLAND RIVER AT BLUEVALE",43.854440,-81.250560,ON,UTC-05:00
02FE008,"MIDDLE MAITLAND RIVER NEAR BELGRAVE",43.812780,-81.306950,ON,UTC-05:00
02FE009,"SOUTH MAITLAND RIVER AT SUMMERHILL",43.684440,-81.541110,ON,UTC-05:00
02FE010,"BOYLE DRAIN NEAR ATWOOD",43.676390,-81.075000,ON,UTC-05:00
02FE011,"MAITLAND RIVER NEAR HARRISTON",43.903890,-80.892500,ON,UTC-05:00
02FE013,"MIDDLE MAITLAND RIVER ABOVE ETHEL",43.718330,-81.124730,ON,UTC-05:00
02FE014,"BLYTH BROOK BELOW BLYTH",43.760280,-81.463330,ON,UTC-05:00
02FE015,"MAITLAND RIVER AT BENMILLER",43.717500,-81.626110,ON,UTC-05:00
02FE016,"SOUTH MAITLAND RIVER AT ROXBORO",43.579250,-81.401310,ON,UTC-05:00
02FE017,"LAKELET CREEK NEAR GORRIE",43.892920,-81.063280,ON,UTC-05:00
02FE018,"BLIND CREEK NEAR FORDWICH",43.896000,-81.038000,ON,UTC-05:00
02FF002,"AUSABLE RIVER NEAR SPRINGBANK",43.071950,-81.659720,ON,UTC-05:00
02FF004,"SOUTH PARKHILL CREEK NEAR PARKHILL",43.160830,-81.731940,ON,UTC-05:00
02FF007,"BAYFIELD RIVER NEAR VARNA",43.551390,-81.589450,ON,UTC-05:00
02FF008,"PARKHILL CREEK ABOVE PARKHILL RESERVOIR",43.164170,-81.631670,ON,UTC-05:00
02FF009,"AUSABLE RIVER NEAR EXETER",43.361950,-81.509450,ON,UTC-05:00
02FF010,"AUSABLE RIVER NEAR PARKHILL",43.193330,-81.814450,ON,UTC-05:00
02FF011,"SILVER CREEK AT SEAFORTH",43.545280,-81.396390,ON,UTC-05:00
02FF012,"PERCH CREEK AT SARNIA",42.984170,-82.318890,ON,UTC-05:00
02FF013,"LITTLE AUSABLE RIVER NEAR LUCAN CROSSING",43.180560,-81.447670,ON,UTC-05:00
02FF014,"BLACK CREEK NEAR HENSALL",43.418920,-81.495470,ON,UTC-05:00
02FF015,"TRICKS CREEK NEAR CLINTON",43.590310,-81.584110,ON,UTC-05:00
02FF016,"LITTLE AUSABLE RIVER NEAR CENTRALIA",43.286250,-81.415640,ON,UTC-05:00
02GA003,"GRAND RIVER AT GALT",43.352780,-80.316950,ON,UTC-05:00
02GA005,"IRVINE RIVER NEAR SALEM",43.714170,-80.443890,ON,UTC-05:00
02GA006,"CONESTOGO RIVER AT ST. JACOBS",43.541110,-80.553340,ON,UTC-05:00
02GA010,"NITH RIVER NEAR CANNING",43.189720,-80.455030,ON,UTC-05:00
02GA014,"GRAND RIVER NEAR MARSVILLE",43.861720,-80.272220,ON,UTC-05:00
02GA015,"SPEED RIVER BELOW GUELPH",43.533610,-80.252220,ON,UTC-05:00
02GA016,"GRAND RIVER BELOW SHAND DAM",43.730830,-80.340840,ON,UTC-05:00
